Ontario|33.94,-117.64,100.52|2018-07-09 03:40:11|Snow|-1.7|1107.0|56.9
Daggett|34.94,-116.64,101.52|2018-08-05 12:00:03|Snow|-6.6|856.8|61.7
Las Vegas|35.94,-115.64,102.52|2018-03-25 02:54:38|Sunny|37.1|726.9|57.4
Leesville|36.94,-114.64,103.52|2019-01-12 04:37:21|Rain|16.2|967.7|78.9
Cedar City|37.94,-113.64,104.52|2018-08-28 04:11:19|Snow|-4.9|865.0|60.7
Cedar City|38.94,-112.64,105.52|2018-11-21 23:20:19|Sunny|34.1|866.2|67.1
Provo|39.94,-111.64,106.52|2018-06-13 16:08:20|Sunny|35.7|990.2|60.8
Evanston|40.94,-110.64,107.52|2018-03-25 22:40:31|Snow|-1.6|840.8|65.7
Rock Springs|41.94,-109.64,108.52|2018-08-18 17:35:31|Rain|21.0|880.3|87.6
Lander|42.94,-108.64,109.52|2018-07-03 04:07:44|Rain|20.8|1239.7|76.1
